male,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,age_at_first_arrest,marital_status,slevel,rs_fta,rs_grecid,rs_vrecid,ds_fta,ds_grecid,ds_vrecid,fta_text,grecid_text,vrecid_text
1,69,0,0,0,0,66,Single,1,13.0,-2.78,-4.31,1,1,1,Low,Low,Low
1,31,0,0,0,0,31,Single,1,16.0,-0.34,-2.75,2,5,2,Low,Medium,Low
1,34,0,0,0,0,31,Single,1,25.0,-0.76,-3.07,6,3,1,Medium,Low,Low
1,24,0,0,1,4,21,Single,1,26.0,-0.66,-2.26,7,4,3,Medium,Low,Low
1,23,0,1,0,1,20,Single,3,19.0,0.16,-1.59,3,8,6,Low,High,Medium
1,43,0,0,0,2,40,Married,1,12.0,-2.2,-3.23,1,1,1,Low,Low,Low
1,44,0,0,0,0,42,Separated,1,19.0,-1.93,-3.3,3,1,1,Low,Low,Low
1,41,0,0,0,14,19,Single,2,30.0,-0.16,-2.89,8,6,2,High,Medium,Low
1,43,0,0,0,3,31,Married,1,20.0,-0.72,-2.44,3,4,3,Low,Low,Low
0,39,0,0,0,0,38,Single,1,13.0,-1.73,-3.37,1,1,1,Low,Low,Low
1,20,0,0,1,0,18,Single,4,17.0,0.82,-0.83,2,10,9,Low,High,High
0,26,0,0,0,0,25,Married,1,11.0,-0.72,-2.42,1,5,3,Low,Medium,Low
1,21,0,0,0,1,19,Single,1,21.0,-0.79,-1.84,4,3,5,Low,Low,Medium
1,27,0,0,0,0,25,Single,1,15.0,-0.69,-2.12,1,4,4,Low,Low,Low
1,23,0,0,0,3,19,Single,2,23.0,-0.3,-2.06,5,6,4,Medium,Medium,Low
0,37,0,0,0,0,34,Married,1,13.0,-1.67,-3.14,1,1,1,Low,Low,Low
1,22,0,0,0,0,20,Single,1,11.0,-0.98,-1.92,1,3,5,Low,Low,Medium
1,41,0,0,0,0,39,Single,1,17.0,-0.73,-2.85,2,4,2,Low,Low,Low
0,47,0,0,0,1,44,Single,1,22.0,-1.82,-3.61,5,1,1,Medium,Low,Low
1,31,0,0,0,7,23,Single,1,19.0,-0.96,-2.82,3,3,2,Low,Low,Low
1,37,0,0,0,0,35,Unknown,1,12.0,-2.0,-3.43,1,1,1,Low,Low,Low
1,25,0,0,0,3,18,Single,4,18.0,0.89,-0.84,3,10,9,Low,High,High
1,31,0,0,0,6,22,Single,1,18.0,-0.4,-2.22,3,5,4,Low,Medium,Low
1,31,0,0,0,5,21,Single,1,12.0,-0.87,-2.7,1,3,2,Low,Low,Low
1,64,0,0,0,13,28,Separated,2,27.0,-0.15,-2.3,7,6,3,Medium,Medium,Low
1,21,0,0,0,1,18,Single,4,25.0,0.5,-0.63,6,9,9,Medium,High,High
1,27,0,0,0,0,26,Single,1,15.0,-1.14,-2.55,1,2,3,Low,Low,Low
0,21,0,0,0,0,19,Single,1,11.0,-0.92,-1.88,1,4,5,Low,Low,Medium
1,24,0,0,0,1,21,Single,1,12.0,-0.71,-1.8,1,4,5,Low,Low,Medium
1,42,0,0,0,1,41,Single,1,19.0,-0.8,-3.18,3,3,1,Low,Low,Low
1,43,0,0,0,1,33,Separated,1,17.0,-1.68,-2.92,2,1,2,Low,Low,Low
1,32,0,0,0,0,30,Single,1,17.0,-0.83,-2.2,2,3,4,Low,Low,Low
0,54,0,0,0,0,51,Separated,3,29.0,0.39,-1.89,9,9,5,High,High,Medium
1,44,0,0,0,8,21,Significant Other,2,18.0,-0.25,-2.21,3,6,4,Low,Medium,Low
0,49,0,0,0,0,49,Married,1,17.0,-1.99,-3.61,2,1,1,Low,Low,Low
1,27,0,0,0,8,24,Single,1,12.0,-0.93,-2.55,1,3,3,Low,Low,Low
0,36,0,0,0,3,33,Single,1,23.0,-1.23,-3.11,6,3,1,Medium,Low,Low
1,26,0,0,1,5,19,Single,2,15.0,0.07,-1.27,1,7,7,Low,Medium,Medium
1,33,0,0,0,0,32,Single,3,26.0,0.82,-1.67,7,10,6,Medium,High,Medium
1,30,0,0,0,9,20,Single,4,28.0,0.56,-0.21,8,9,10,High,High,High
1,32,0,0,0,4,25,Single,3,20.0,0.25,-2.3,3,8,3,Low,High,Low
1,63,0,0,0,0,62,Single,1,15.0,-2.74,-4.33,1,1,1,Low,Low,Low
1,27,0,0,0,2,26,Single,1,12.0,-0.88,-2.54,1,3,3,Low,Low,Low
1,55,0,0,0,0,53,Single,1,11.0,-2.56,-4.21,1,1,1,Low,Low,Low
1,29,0,0,0,0,29,Single,3,16.0,0.21,-1.73,2,8,6,Low,High,Medium
1,32,0,0,0,15,23,Single,4,40.0,0.7,-1.1,10,10,8,High,High,High
