raw_score,decile_score,score_text
-2.78,1,Low
-0.34,5,Medium
-0.76,3,Low
-0.66,4,Low
0.16,8,High
-2.2,1,Low
-1.93,1,Low
-0.16,6,Medium
-0.72,4,Low
-1.73,1,Low
0.82,10,High
-0.72,5,Medium
-0.79,3,Low
-0.69,4,Low
-0.3,6,Medium
-1.67,1,Low
-0.98,3,Low
-0.73,4,Low
-1.82,1,Low
-0.96,3,Low
-2.0,1,Low
0.89,10,High
-0.4,5,Medium
-0.87,3,Low
-0.15,6,Medium
0.5,9,High
-1.14,2,Low
-0.92,4,Low
-0.71,4,Low
-0.8,3,Low
-1.68,1,Low
-0.83,3,Low
0.39,9,High
-0.25,6,Medium
-0.25,6,Medium
-1.99,1,Low
-0.93,3,Low
-1.23,3,Low
0.07,7,Medium
0.82,10,High
0.55,9,High
0.56,9,High
0.25,8,High
-2.74,1,Low
-0.88,3,Low
-2.56,1,Low
0.21,8,High
0.7,10,High
-0.81,3,Low
-0.46,5,Medium
-0.82,3,Low
0.1,8,High
0.3,8,High
0.09,8,High
-0.73,5,Medium
-1.23,2,Low
0.32,9,High
-1.08,2,Low
0.03,8,High
-1.77,1,Low
-1.97,1,Low
-1.33,2,Low
-0.25,6,Medium
-1.32,2,Low
-0.01,7,Medium
0.58,9,High
-0.06,7,Medium
-0.06,7,Medium
-1.55,1,Low
1.07,10,High
0.1,8,High
-2.43,1,Low
-0.94,3,Low
-0.59,4,Low
-1.22,2,Low
-1.45,2,Low
-1.08,2,Low
-0.98,3,Low
-0.27,6,Medium
0.42,9,High
-2.51,1,Low
-0.28,6,Medium
-0.43,5,Medium
-0.6,4,Low
-0.46,5,Medium
0.09,8,High
-0.01,7,Medium
-2.05,1,Low
-0.51,5,Medium
-1.84,1,Low
-0.93,3,Low
0.01,7,Medium
-1.84,1,Low
0.69,10,High
-1.11,2,Low
-0.17,6,Medium
-0.62,4,Low
-1.88,1,Low
0.84,10,High
0.44,9,High
0.16,8,High
-1.98,1,Low
-0.25,6,Medium
-0.33,5,Medium
-1.88,1,Low
-2.57,1,Low
-2.08,1,Low
-1.97,1,Low
-0.52,4,Low
-1.2,3,Low
-0.56,4,Low
-0.63,4,Low
-0.22,6,Medium
-0.24,6,Medium
-0.26,6,Medium
-0.22,6,Medium
-1.31,2,Low
-0.96,4,Low
-1.21,2,Low
-1.59,1,Low
-0.91,3,Low
0.09,8,High
-0.98,4,Low
-0.06,7,Medium
-0.06,7,Medium
-2.09,1,Low
-1.64,1,Low
-1.36,2,Low
-1.02,2,Low
