raw_score,decile_score,score_text
-4.31,1,Low
-2.75,2,Low
-3.07,1,Low
-2.26,3,Low
-1.59,6,Medium
-3.23,1,Low
-3.3,1,Low
-2.89,2,Low
-2.44,3,Low
-3.37,1,Low
-0.83,9,High
-2.42,3,Low
-1.84,5,Medium
-2.12,4,Low
-2.06,4,Low
-3.14,1,Low
-1.92,5,Medium
-2.85,2,Low
-3.61,1,Low
-2.82,2,Low
-3.43,1,Low
-0.84,9,High
-2.22,4,Low
-2.7,2,Low
-2.3,3,Low
-0.63,9,High
-2.55,3,Low
-1.88,5,Medium
-1.56,6,Medium
-1.8,5,Medium
-3.18,1,Low
-2.92,2,Low
-2.2,4,Low
-1.89,5,Medium
-2.21,4,Low
-2.21,4,Low
-3.61,1,Low
-2.55,3,Low
-3.11,1,Low
-1.27,7,Medium
-1.67,6,Medium
-0.43,10,High
-0.21,10,High
-2.3,3,Low
-4.33,1,Low
-2.54,3,Low
-4.21,1,Low
-1.73,6,Medium
-1.1,8,High
-2.19,4,Low
-2.59,2,Low
-2.81,2,Low
-1.18,8,High
-1.02,8,High
-1.16,8,High
-2.67,2,Low
-2.49,3,Low
-1.55,6,Medium
-2.62,2,Low
-1.16,8,High
-3.6,1,Low
-3.41,1,Low
-2.78,2,Low
-1.35,7,Medium
-2.82,2,Low
-1.98,4,Low
-0.31,10,High
-2.8,2,Low
-2.8,2,Low
-2.9,2,Low
-0.77,9,High
-2.54,3,Low
-3.94,1,Low
-2.64,2,Low
-2.41,3,Low
-2.86,2,Low
-2.71,2,Low
-3.21,1,Low
-2.35,3,Low
-2.13,4,Low
-0.45,10,High
-4.23,1,Low
-2.21,4,Low
-1.45,7,Medium
-2.04,4,Low
-2.51,3,Low
-2.71,2,Low
-2.36,3,Low
-3.38,1,Low
-2.93,2,Low
-3.18,1,Low
-2.94,2,Low
-1.91,5,Medium
-3.25,1,Low
-0.9,9,High
-2.7,2,Low
-2.41,3,Low
-1.61,6,Medium
-3.31,1,Low
-0.65,9,High
-1.8,5,Medium
-1.55,6,Medium
-3.88,1,Low
-2.32,3,Low
-2.04,4,Low
-3.24,1,Low
-4.15,1,Low
-3.55,1,Low
-3.62,1,Low
-1.59,6,Medium
-2.62,2,Low
-2.03,4,Low
-2.87,2,Low
-2.03,4,Low
-2.36,3,Low
-2.48,3,Low
-2.31,3,Low
-2.98,1,Low
-2.61,2,Low
-3.27,1,Low
-3.66,1,Low
-2.38,3,Low
-1.56,6,Medium
-2.32,3,Low
-1.2,8,High
-1.2,8,High
-4.2,1,Low
-2.47,3,Low
-3.05,1,Low
-2.81,2,Low
-4.05,1,Low
-0.74,9,High
-0.56,10,High
-0.8,9,High
-2.52,3,Low
-3.24,1,Low
-1.79,5,Medium
-1.78,5,Medium
-2.84,2,Low
-0.25,10,High
-3.83,1,Low
-1.21,8,High
-0.57,10,High
-1.25,8,High
-1.74,5,Medium
-1.99,4,Low
-1.54,6,Medium
-2.95,1,Low
-1.54,6,Medium
-2.15,4,Low
-1.5,6,Medium
-2.28,3,Low
-1.98,4,Low
-0.91,9,High
-2.51,3,Low
-2.89,2,Low
-1.22,8,High
-3.23,1,Low
-3.95,1,Low
-4.03,1,Low
-1.88,5,Medium
-3.71,1,Low
-1.45,7,Medium
-2.25,3,Low
-2.64,2,Low
-3.41,1,Low
-3.03,1,Low
-1.52,6,Medium
-2.58,2,Low
-2.68,2,Low
-2.28,3,Low
-2.18,4,Low
-2.4,3,Low
-2.21,4,Low
-3.34,1,Low
-1.68,6,Medium
-2.05,4,Low
-1.56,6,Medium
-1.03,8,High
-2.46,3,Low
-1.54,6,Medium
-2.4,3,Low
-2.06,4,Low
-1.9,5,Medium
-2.31,3,Low
-2.63,2,Low
-3.3,1,Low
-2.85,2,Low
-2.7,2,Low
-1.36,7,Medium
-1.49,7,Medium
-1.88,5,Medium
